   Nodos Enlaces Diferentes
1      1       1    Iguales
2      2       2    Iguales
3      3       3    Iguales
4      4       4    Iguales
5      2       2    Iguales
6      4       4    Iguales
7      2       2    Iguales
8      4       4    Iguales
9      5       5    Iguales
10     4       4    Iguales
11     1       1    Iguales
12     4       4    Iguales
13     2       2    Iguales
14     4       4    Iguales
15     2       2    Iguales
16     1       2 Diferentes
17     2       2    Iguales
18     1       2 Diferentes
19     2       2    Iguales
20     1       1    Iguales
21     3       3    Iguales
22     1       2 Diferentes
23     2       2    Iguales
24     3       3    Iguales
25     4       4    Iguales
26     4       4    Iguales
27     5       5    Iguales
28     4       4    Iguales
